Strain Name,Virus Type,GenBank Accession,Sequence Length,Pango Genome Lineage,Collection Date,Host,GenBank Host,Country,Mol Type
SAT 1 Uga 1/07,Foot-and-mouth disease virus - type SAT 1,HM067706,7651,-N/A-,01/17/2007,Bovine,Syncerus caffer,Uganda,genomic RNA
KEN/3/57,Foot-and-mouth disease virus - type SAT 2,AJ251473,7774,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
SAT1-3swa1/49,Foot-and-mouth disease virus - type SAT 1,AY593840,8179,-N/A-,-N/A-,Unknown,-N/A-,Namibia,genomic RNA
SAT1rhod5/66,Foot-and-mouth disease virus - type SAT 1,AY593846,8133,-N/A-,-N/A-,Unknown,-N/A-,Zimbabwe,genomic RNA
SAT3-4bech 1/65,Foot-and-mouth disease virus - type SAT 3,AY593853,8131,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
A/Egy/2006/iso_Ism,Foot-and-mouth disease virus - type A,EF159977,802,-N/A-,-N/A-,Unknown,-N/A-,Egypt,genomic RNA
SAT3-3kenya 11/60,Foot-and-mouth disease virus - type SAT 3,AY593852,8164,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
UGA/09/2004,Foot-and-mouth disease virus - type SAT 2,GU323177,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
SAT1-1bech,Foot-and-mouth disease virus - type SAT 1,AY593838,8173,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
UGA/08/2004,Foot-and-mouth disease virus - type SAT 2,GU323176,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
UGA/07/2005,Foot-and-mouth disease virus - type SAT 2,GU323175,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
SAT1/5sa/61,Foot-and-mouth disease virus - type SAT 1,AY593842,8176,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
Kapchorwa District,Foot-and-mouth disease virus - type O,FJ461345,7612,-N/A-,Oct-02,Unknown,-N/A-,Uganda,genomic RNA
A23 Kenya,Foot-and-mouth disease virus - type A,AY593766,8202,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
SAT3-3bech 20/61,Foot-and-mouth disease virus - type SAT 3,AY593851,8164,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
SAT2-1rhod/48,Foot-and-mouth disease virus - type SAT 2,AY593847,8119,-N/A-,-N/A-,Unknown,-N/A-,Zimbabwe,genomic RNA
UGA/02/2004,Foot-and-mouth disease virus - type SAT 2,GU323172,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
Murchison Falls National Park,Foot-and-mouth disease virus - type SAT 2,FJ461346,7637,-N/A-,Aug-02,Buffalo,buffalo,Uganda,genomic RNA
SAT1-4sr2/58,Foot-and-mouth disease virus - type SAT 1,AY593841,8177,-N/A-,-N/A-,Unknown,-N/A-,Zimbabwe,genomic RNA
SAR/19/2000,Foot-and-mouth disease virus - type O,AJ539140,8184,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
A21 Kenya,Foot-and-mouth disease virus - type A,AY593761,8161,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
UGA/03/2004,Foot-and-mouth disease virus - type SAT 2,GU323173,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
SAT 2 Uga 2/07,Foot-and-mouth disease virus - type SAT 2,HM067704,7642,-N/A-,01/17/2007,Bovine,Syncerus caffer,Uganda,genomic RNA
UGA/05/2004,Foot-and-mouth disease virus - type SAT 2,GU323174,344,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
SAT 2 Uga 1/07,Foot-and-mouth disease virus - type SAT 2,HM067705,7633,-N/A-,01/17/2007,Bovine,Syncerus caffer,Uganda,genomic RNA
SAT1-6swa40/61,Foot-and-mouth disease virus - type SAT 1,AY593843,8180,-N/A-,-N/A-,Unknown,-N/A-,Namibia,genomic RNA
O/Uganda/2006,Foot-and-mouth disease virus - type O,EF611987,7556,-N/A-,2006,Unknown,-N/A-,Uganda,genomic RNA
UGA/12/2004,Foot-and-mouth disease virus - type SAT 2,GU323179,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
UGA/11/2004,Foot-and-mouth disease virus - type SAT 2,GU323178,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
SAT2-3kenya 11/60,Foot-and-mouth disease virus - type SAT 2,AY593849,8203,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
SAT3-2sa57/59,Foot-and-mouth disease virus - type SAT 3,AY593850,8170,-N/A-,-N/A-,Unknown,-N/A-,South Africa,genomic RNA
Kumi District,Foot-and-mouth disease virus - type O,FJ461344,7619,-N/A-,Jul-02,Cattle,bovine,Uganda,genomic RNA
UGA/01/2004,Foot-and-mouth disease virus - type SAT 2,GU323171,347,-N/A-,2004,Unknown,-N/A-,Uganda,genomic RNA
O/U/312/2006,Foot-and-mouth disease virus - type O,HM191257,7635,-N/A-,07/31/2006,Bovine,Ankole cow,Uganda,genomic RNA
O/Kenya/83/79,Foot-and-mouth disease virus,AJ004686,281,-N/A-,-N/A-,Unknown,-N/A-,-N/A-,genomic RNA
SAT1bot1/68,Foot-and-mouth disease virus - type SAT 1,AY593845,8175,-N/A-,-N/A-,Unknown,-N/A-,Botswana,genomic RNA
OUGA2009LIRA,Foot-and-mouth disease virus - type O,JN974308,639,-N/A-,2009,Cattle,bovine,Uganda,genomic RNA
OUGA2009DOKOLO,Foot-and-mouth disease virus - type O,JN974310,639,-N/A-,2009,Cattle,bovine,Uganda,genomic RNA
OUGA2009APAC,Foot-and-mouth disease virus - type O,JN974309,639,-N/A-,2009,Cattle,bovine,Uganda,genomic RNA
OUGA2008KAMULI,Foot-and-mouth disease virus - type O,JN974312,639,-N/A-,2009,Cattle,bovine,Uganda,genomic RNA
OUGA2009AMOLATAR,Foot-and-mouth disease virus - type O,JN974311,639,-N/A-,2009,Cattle,bovine,Uganda,genomic RNA
ZIM/5/02,Foot-and-mouth disease virus - type SAT 2,JQ639295,2220,-N/A-,2002,Cattle,bovine,Zimbabwe,genomic RNA
O/EGY/2MNF-2009,Foot-and-mouth disease virus - type O,JQ837835,632,-N/A-,Aug-09,Cattle,cattle,Egypt,mRNA
ZIM/13/01,Foot-and-mouth disease virus - type SAT 2,JQ639292,2220,-N/A-,2001,Cattle,bovine,Zimbabwe,genomic RNA
ZIM/44/97,Foot-and-mouth disease virus - type SAT 2,JQ639291,2220,-N/A-,1997,Buffalo,buffalo,Zimbabwe,genomic RNA
O/EGY/8KFS-2009,Foot-and-mouth disease virus - type O,JQ837834,632,-N/A-,Aug-09,Cattle,cattle,Egypt,mRNA
ZIM/2/88,Foot-and-mouth disease virus - type SAT 2,JQ639294,2220,-N/A-,1988,Buffalo,buffalo,Zimbabwe,genomic RNA
ZIM/7/89,Foot-and-mouth disease virus - type SAT 2,JQ639296,2220,-N/A-,1989,Buffalo,buffalo,Zimbabwe,genomic RNA
O/EGY/MNF-2009,Foot-and-mouth disease virus - type O,JQ837833,632,-N/A-,Aug-09,Cattle,cattle,Egypt,mRNA
ZIM/5/83,Foot-and-mouth disease virus - type SAT 2,JQ639289,2274,-N/A-,1983,Cattle,bovine,Zimbabwe,genomic RNA
ZIM/4/97,Foot-and-mouth disease virus - type SAT 2,JQ639293,2220,-N/A-,1997,Cattle,bovine,Zimbabwe,genomic RNA
O/EGY/15BH-2009,Foot-and-mouth disease virus - type O,JQ837836,632,-N/A-,Aug-09,Cattle,cattle,Egypt,mRNA
ZIM/8/94,Foot-and-mouth disease virus - type SAT 2,JQ639290,2220,-N/A-,1994,Buffalo,buffalo,Zimbabwe,genomic RNA
KNP/196/91,Foot-and-mouth disease virus - type SAT 1,JQ692596,2238,-N/A-,Jun-06,Unknown,-N/A-,South Africa,genomic RNA
EGY/9/2012,Foot-and-mouth disease virus - type SAT 2,JX014255,8134,-N/A-,02/29/2012,Unknown,-N/A-,Egypt,genomic RNA
KNP/196/91,Foot-and-mouth disease virus - type SAT 1,JQ692595,2238,-N/A-,Oct-07,Chicken,Gallus gallus,South Africa,genomic RNA
O/EGY/FYM/2011,Foot-and-mouth disease virus - type O,JX666332,213,-N/A-,Feb-11,Cow,Bos taurus (cattle),Egypt,mRNA
A Iran 05,Foot-and-mouth disease virus - type A,JX645707,300,-N/A-,Jan-11,Cattle,Bos primigenius (cattle),Egypt,mRNA
A Iran 05,Foot-and-mouth disease virus - type A,JX645709,300,-N/A-,Mar-11,Cattle,Bos primigenius (cattle),Egypt,mRNA
A Iran 05,Foot-and-mouth disease virus - type A,JX645708,300,-N/A-,Feb-11,Cattle,Bos primigenius (cattle),Egypt,mRNA
O/EGY/MNF/2011,Foot-and-mouth disease virus - type O,JX666331,213,-N/A-,Apr-11,Cow,Bos taurus (cattle),Egypt,mRNA
O/EGY/ALX/2011,Foot-and-mouth disease virus - type O,JX666333,213,-N/A-,Apr-11,Cow,Bos taurus (cattle),Egypt,mRNA
EGY/26/2012,Foot-and-mouth disease virus - type SAT 2,JX013977,597,-N/A-,03/15/2012,Buffalo,buffalo,Egypt,genomic RNA
EGY/23/2012,Foot-and-mouth disease virus - type SAT 2,JX013980,648,-N/A-,03/13/2012,Cattle,cattle,Egypt,genomic RNA
